Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_20,RSI_14,BB_Mid,BB_Upper,BB_Lower,OBV,Momentum,Volatility,Target
2015-03-16,180.19915771484375,182.73491264434313,179.81397631535776,182.2106431199992,13839990,185.71149291992188,188.35617218017578,186.01866015884892,46.799007710699144,186.26893005371093,196.701990415447,175.83586969197486,-60485713.0,-2.8781280517578125,0.018170197568009774,1
2015-03-17,183.35549926757812,184.00815792038017,179.96378837851435,182.00737132545729,19070082,185.55314178466796,188.2232861328125,185.7650257882517,55.106116066383365,185.62001266479493,194.9760712677419,176.26395406184795,-41415631.0,-1.5835113525390625,0.01882821940690526,1
2015-03-18,185.8805389404297,186.65090177732299,182.8954079453352,183.38758023432382,9269885,184.86517028808595,188.15095794677734,185.7760270408401,57.924179950080834,185.25462799072267,193.91080934415106,176.59844663729427,-32145746.0,-6.8797149658203125,0.012781263201621568,0
2015-03-19,183.20570373535156,187.6031429821561,182.76702686252392,187.35706396918957,13934612,184.18683013916015,188.06664642333985,185.53123434507927,54.10741511802979,184.76780624389647,192.66551238760954,176.8701001001834,-46080358.0,-6.7834014892578125,0.012782574883093025,0
2015-03-20,182.76702880859375,184.27564301850518,181.59008631534266,183.5801737532895,10405717,183.52667999267578,188.14368255615236,185.26797667493778,49.549026435616554,184.2547706604004,191.16453275038393,177.34500857041687,-56486075.0,-6.60150146484375,0.012787740202667364,0
2015-03-23,180.1670684814453,184.88549441073982,179.34321021313397,183.28058850662916,13251683,182.93393249511718,188.09082702636718,184.7821758946052,43.209483021427644,183.92148513793944,190.94969079856855,176.89327947731033,-69737758.0,-5.9274749755859375,0.01245216000324358,1
2015-03-24,181.4510040283203,182.80983105517825,180.19918216575178,180.19918216575178,9238431,182.69426879882812,188.1160775756836,184.46492143114946,30.22824024154123,183.88403701782227,190.95869242483607,176.80938161080846,-60499327.0,-2.396636962890625,0.01240552185719272,0
2015-03-25,180.79835510253906,181.78269981857528,179.96379762627,181.6757089330273,10264941,182.45781402587892,188.05017028808595,184.1157246379485,32.64652175591587,183.92095108032225,190.91888376739203,176.92301839325248,-70764268.0,-2.3645477294921875,0.012402748980718083,0
2015-03-26,177.46014404296875,181.72920904653154,176.3474102356759,179.98520042928607,20621346,181.7195571899414,187.9602963256836,183.481859819379,29.60797716509839,183.77276611328125,191.19514526986234,176.35038695670016,-91385614.0,-7.382568359375,0.012896772661882081,0
2015-03-27,173.6939239501953,178.67984101772635,171.5005398332376,178.44444683431152,23326922,180.89784240722656,187.8256979370117,182.5496754508853,29.117118172740447,183.4485740661621,192.01094768612805,174.88620044619617,-114712536.0,-8.217147827148438,0.013540500634160148,0
