Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_20,RSI_14,Target
2020-03-12,1554.90771484375,1676.6313314138536,1544.8043507352847,1672.765675001557,8728786,1771.4931396484376,1881.50375,1808.1918895234485,23.912462051396147,1
2020-03-13,1586.930908203125,1598.967045814718,1323.1452733097904,1482.910173443925,8029720,1745.206787109375,1875.241611328125,1787.1194151119892,28.317037672352782,0
2020-03-16,1490.378173828125,1618.5151799223843,1472.323856565828,1541.861387305623,7844271,1718.5207153320312,1867.2228540039061,1758.8583445135257,23.83660841512021,0
2020-03-17,1456.641357421875,1520.7757477064329,1426.0237966597404,1519.8971944148636,5713248,1688.3599365234375,1857.7755224609375,1730.0757743143208,22.497166654671076,0
2020-03-18,1453.4786376953125,1505.4450881524474,1430.0651702096498,1473.158253561629,7258778,1654.8167724609375,1848.2684399414063,1703.7331898744153,22.370257878346948,0
2020-03-19,1448.1246337890625,1491.5767590833336,1368.8311245955701,1380.2914745073563,5135111,1616.6090087890625,1838.5596020507812,1679.3895178662865,22.14254166087339,1
2020-03-20,1590.693603515625,1654.013422199826,1439.850100545274,1442.5050177558676,8547498,1588.9813842773438,1830.8360961914063,1670.9422879281283,39.734768325421115,0
2020-03-23,1477.6383056640625,1548.7016293539596,1431.6640347927816,1433.655222601951,7003490,1550.8037719726562,1821.5685107421875,1652.5323848553603,33.30766392431066,1
2020-03-24,1507.24072265625,1566.4011043415717,1445.0271214587124,1462.9036282577763,6350865,1528.2463745117188,1812.907001953125,1638.6950836935403,36.21685044565881,1
2020-03-25,1548.9677734375,1601.800600873539,1486.754148877097,1504.4536030303957,2765520,1511.5001831054688,1805.4867578125,1630.1496255739173,40.178090056910754,1
2020-03-26,1584.941650390625,1621.3141110324696,1524.4096103767067,1620.915808541212,4556067,1514.5035766601563,1798.4958618164062,1625.8441041278895,43.439409399470996,1
2020-03-27,1614.632568359375,1637.1993704932001,1549.0561178821542,1610.6501915122294,4331250,1517.2737426757812,1791.748154296875,1624.7763388166022,46.05348135879791,0
2020-03-30,1573.923583984375,1685.8726047175903,1560.6932883819973,1562.8614277854408,8513547,1525.6282836914063,1783.9776342773437,1619.933219308771,43.11144834350908,1
2020-03-31,1616.04833984375,1641.6240679529428,1575.2511272001284,1626.0485727953906,3927593,1541.5689819335937,1777.3949926757812,1619.563230788293,46.892176016860134,0
2020-04-01,1512.19677734375,1623.7033136687317,1506.223212897769,1615.8713285564418,4941878,1547.4407958984375,1769.5899560546875,1609.337854269765,39.859196116093486,0
2020-04-03,1463.92138671875,1539.8520663031763,1460.2045456323224,1539.8520663031763,5735369,1549.0204711914062,1760.807138671875,1595.4886668839542,37.07549029519137,1
2020-04-07,1571.003173828125,1580.4281527691137,1508.8781461540354,1513.3030087527277,5427577,1547.0514282226563,1753.5374731445313,1593.1567151643515,46.07216973806957,0
2020-04-08,1509.2763671875,1598.2603988276899,1505.3382826167776,1557.5516622019568,6285615,1550.215234375,1745.2256713867187,1585.1681105951275,42.31628050141913,1
2020-04-09,1562.9942626953125,1574.189186857372,1532.0644078114144,1549.1001290927175,5307397,1555.7905883789062,1738.1208911132812,1583.0563155570499,46.41060997751097,0
2020-04-13,1556.8878173828125,1581.4458034179825,1545.1619321588123,1558.4365192048501,2990438,1556.5825927734375,1731.1426147460938,1580.564077635694,46.01080926027146,0
2020-04-15,1535.559814453125,1603.5699188193564,1529.0552892027574,1579.6756650621144,4761399,1551.6444091796875,1723.4829858398436,1576.2779573325925,44.56675436634596,0
2020-04-16,1518.6572265625,1561.88811513224,1482.373351082538,1513.258807446037,6245533,1542.046875,1715.997509765625,1570.7902686878217,43.40412176069362,1
2020-04-17,1598.437255859375,1638.924746963624,1551.3567629671832,1592.9504696753734,9895823,1544.4982421875,1710.401943359375,1573.4233150851126,50.030310661415285,1
2020-04-20,1609.455078125,1619.4994932670872,1595.1627522480462,1619.4994932670872,3244282,1543.838916015625,1706.0599169921875,1576.854911565102,50.8855246045812,0
2020-04-21,1537.7725830078125,1588.1717268430468,1528.9670412613293,1561.9765608002738,5122541,1546.3964965820312,1699.872197265625,1573.1327850358364,45.43699001812184,1
2020-04-22,1565.9588623046875,1584.1007988275733,1521.400517865228,1537.7725093614908,3829836,1556.600244140625,1694.1559619140626,1572.4495542995364,47.80364501493163,1
2020-04-23,1662.1993408203125,1681.4474897157427,1558.3035637973692,1575.2508061547485,5934366,1565.7198608398437,1689.6827734375,1580.997153015801,54.98346280774191,0
2020-04-24,1609.36669921875,1638.9246927553193,1599.8532453395178,1628.9687526491462,2987102,1575.7288940429687,1684.4727294921875,1583.6990145589389,50.84842057121063,1
2020-04-27,1625.34033203125,1659.323294712739,1615.0746735203993,1621.535015426025,3374741,1581.9635009765625,1679.4380688476563,1587.6648543182064,52.02322339742338,1
2020-04-28,1645.2081298828125,1653.1285903563241,1621.8005430018281,1650.4736729199917,2678505,1590.7955322265625,1674.3544604492188,1593.1451662767404,53.51156675440082,1
2020-04-29,1686.447509765625,1692.5538403307012,1637.2430707717626,1658.4381144552092,4241510,1605.8843017578124,1670.24587890625,1602.0311037518723,56.526279606374295,1
2020-04-30,1782.7325439453125,1798.2638522190807,1718.7932903415583,1752.245289071742,5915544,1632.2918334960937,1667.7581396484375,1619.240764722676,62.62107578608962,0
2020-05-04,1708.3948974609375,1739.8557089601363,1693.5274262098224,1739.8557089601363,3729348,1643.28759765625,1663.4111352539062,1627.7316345072725,56.083696117149074,1
2020-05-05,1710.430419921875,1749.5904489383247,1705.3418285807545,1730.2095316159373,2905528,1653.3851318359375,1659.2410229492189,1635.6077093086633,56.21847623490603,0
2020-05-06,1684.633544921875,1728.970643342912,1675.7838203656254,1716.6696126328166,3517431,1668.0712280273438,1654.2202392578124,1640.2768365099214,53.958340519770616,0
2020-05-07,1674.0579833984375,1711.9347355212187,1666.7126696120656,1690.2972045695526,3166754,1678.8811401367188,1648.76830078125,1643.494088594542,53.017330336063495,1
2020-05-08,1675.6072998046875,1716.4045188902421,1669.2797235146786,1716.05050821122,2686530,1680.2219360351562,1643.688232421875,1646.5524896621748,53.1462447594605,1
2020-05-11,1712.6871337890625,1726.9351678637013,1689.4123163915076,1689.4123163915076,2449841,1690.5539794921874,1640.0446948242188,1652.8510271980688,56.240915120094286,1
2020-05-12,1725.2537841796875,1731.4485913042106,1690.51861566004,1711.005749399057,3256595,1700.5453247070313,1637.3808129882811,1659.7465278629847,57.27096790703495,1
2020-05-13,1725.3865966796875,1764.6351040942657,1704.1472574127554,1764.6351040942657,2656665,1708.5631713867188,1634.0026879882812,1665.997962988385,57.28241254528275,0
2020-05-14,1683.5272216796875,1701.890398959459,1673.5712821906548,1690.297282138001,2263146,1708.271142578125,1630.3593139648438,1667.6674161970807,52.50877568857168,0
2020-05-15,1675.1644287109375,1696.846254467225,1650.6506262018147,1695.6072713896638,3173682,1697.5143310546875,1626.8667138671874,1668.3814173888766,51.583895446258474,1
2020-05-18,1721.8023681640625,1728.3068940319783,1656.7568934271778,1687.6424533774032,3727694,1698.855078125,1626.1579833984374,1673.4691269865134,56.21564683210114,1
2020-05-19,1724.50146484375,1740.2539085270066,1684.10245374073,1684.10245374073,3198693,1700.2621826171876,1625.4830297851563,1678.3293496395836,56.47515818833505,1
2020-05-20,1728.8822021484375,1737.112489361271,1709.5012833783433,1725.6963228504867,2778505,1704.6870483398438,1624.2824682617188,1683.1439070213794,56.92144292182913,1
