Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,ATR_14,BB_MID,BB_STD,BB_UP,BB_LOW,OBV,Momentum,Volatility,Target
2020-03-12,1554.90771484375,1676.6313314138536,1544.8043507352847,1672.765675001557,8728786,1771.4931396484376,1881.50375,1808.1918895234483,21.86301202104687,-52.36257808769665,-28.605488132788295,73.0077177585334,1839.5985534667968,97.08293555762161,2033.76442458204,1645.4326823515537,-16336849,-310.7882080078125,0.040026043702981635,1
2020-03-13,1586.930908203125,1598.967045814718,1323.1452733097904,1482.910173443925,8029720,1745.206787109375,1875.241611328125,1787.119415111989,26.781891961743412,-63.26639412926647,-35.53766933208394,88.746375698523,1823.5891235351562,110.79441702581394,2045.177957586784,1602.0002894835284,-8307129,-262.863525390625,0.04175769313479665,0
2020-03-16,1490.378173828125,1618.5151799223845,1472.323856565828,1541.861387305623,7844271,1718.5207153320312,1867.2228540039061,1758.8583445135257,24.555093652990692,-78.79049782560469,-44.188235030788086,94.65465035154435,1801.8207763671876,130.6560622064802,2063.132900780148,1540.5086519542272,-16151400,-266.8607177734375,0.04290659555497744,0
2020-03-17,1456.641357421875,1520.7757477064329,1426.0237966597404,1519.8971944148636,5713248,1688.3599365234375,1857.7755224609375,1730.0757743143208,19.65641350898761,-92.74661573034996,-53.89991117070046,97.30286503385928,1778.7060424804688,148.51832320128162,2075.742688883032,1481.6693960779055,-21864648,-301.6077880859375,0.04256834031132718,0
2020-03-18,1453.4786376953125,1505.4450881524474,1430.0651702096498,1473.158253561629,7258778,1654.8167724609375,1848.2684399414063,1703.7331898744153,20.375008948335477,-102.87625138057024,-63.69517921267442,99.48984139286503,1754.596337890625,160.36224143573207,2075.320820762089,1433.8718550191606,-29123426,-335.431640625,0.04119433959982322,0
2020-03-19,1448.1246337890625,1491.5767590833336,1368.83112459557,1380.2914745073565,5135111,1616.6090087890625,1838.5596020507812,1679.3895178662865,20.688657484733156,-110.06729670154823,-72.96960271044918,105.91041420866408,1729.66982421875,167.52324438408274,2064.7163129869155,1394.6233354505844,-34258537,-382.07763671875,0.03890765402793318,1
2020-03-20,1590.693603515625,1654.013422199826,1439.850100545274,1442.5050177558676,8547498,1588.9813842773438,1830.8360961914063,1670.9422879281283,38.67334009775368,-103.07395517482178,-78.9904732033237,113.95973133339011,1712.7239685058594,163.32265438293214,2039.3692772717236,1386.0786597399951,-25711039,-276.2762451171875,0.05355693579655744,0
2020-03-23,1477.6383056640625,1548.7016293539596,1431.6640347927816,1433.655222601951,7003490,1550.8037719726562,1821.5685107421875,1652.5323848553603,33.4396407668428,-105.43886571412281,-84.28015170548353,121.03603797092983,1691.8626831054687,165.4655167619374,2022.7937166293436,1360.9316495815938,-32714529,-381.7761230468748,0.05621778641577767,1
2020-03-24,1507.24072265625,1566.4011043415717,1445.0271214587124,1462.9036282577763,6350865,1528.2463745117188,1812.907001953125,1638.6950836935403,33.35636216909994,-103.72868696674391,-88.16985875773562,126.02198351091081,1674.3023254394532,165.49212512313403,2005.2865756857213,1343.318075193185,-26363664,-225.573974609375,0.05496171601103041,1
2020-03-25,1548.9677734375,1601.800600873539,1486.754148877097,1504.4536030303957,2765520,1511.5001831054688,1805.4867578125,1630.1496255739173,33.39060909215303,-97.8780564104161,-90.11149828827172,129.8813381952664,1657.0360717773438,159.2276880605657,1975.4914478984751,1338.5806956562124,-23598144,-167.4619140625,0.05642482555613995,1
2020-03-26,1584.941650390625,1621.3141110324696,1524.4096103767067,1620.915808541212,4556067,1514.5035766601563,1798.4958618164062,1625.8441041278895,33.32810406654629,-89.30909862318163,-89.9510183552537,132.75232421557703,1642.998358154297,152.07913458159663,1947.1566273174903,1338.8400889911036,-19042077,30.033935546875,0.04832781320876496,1
2020-03-27,1614.632568359375,1637.1993704932,1549.0561178821542,1610.6501915122294,4331250,1517.2737426757812,1791.748154296875,1624.7763388166022,35.89892669562472,-79.20925392487038,-87.80266546917704,135.69409840681018,1631.240264892578,144.1322759421768,1919.5048167769314,1342.9757130082244,-14710827,27.70166015625,0.048255852401287956,0
2020-03-30,1573.923583984375,1685.8726047175903,1560.6932883819973,1562.8614277854408,8513547,1525.6282836914063,1783.9776342773437,1619.933219308771,39.84155258240321,-73.64104097548261,-84.97034057043817,133.2487868610978,1622.0744995117188,141.50273742462915,1905.079974360977,1339.0690246624606,-23224374,83.54541015625,0.04418023368670027,1
2020-03-31,1616.04833984375,1641.6240679529428,1575.2511272001284,1626.0485727953906,3927593,1541.5689819335937,1777.3949926757812,1619.563230788293,43.786773550485925,-65.07888744543698,-80.99204994543794,133.86120106650853,1614.9644592285156,137.82506001721205,1890.6145792629397,1339.3143391940914,-19296781,159.406982421875,0.04333462559728388,0
2020-04-01,1512.19677734375,1623.7033136687317,1506.223212897769,1615.8713285564418,4941878,1547.4407958984375,1769.5899560546875,1609.337854269765,47.153110156853636,-65.91346288548175,-77.97633253344671,129.9936842098119,1601.1287841796875,133.25770967832267,1867.644203536333,1334.613364823042,-24238659,58.7181396484375,0.049486936555259334,0
2020-04-03,1463.92138671875,1539.8520663031763,1460.2045456323224,1539.8520663031763,5735369,1549.0204711914062,1760.807138671875,1595.4886668839542,41.97469668999065,-69.66721027001267,-76.31450808075991,115.98123765023523,1582.8147399902343,125.03427952566642,1832.8832990415672,1332.7461809389015,-29974028,15.7967529296875,0.05082929893229748,1
2020-04-07,1571.003173828125,1580.4281527691137,1508.8781461540354,1513.3030087527277,5427577,1547.0514282226563,1753.5374731445313,1593.1567151643515,55.1887945668494,-63.27211525748703,-73.70602951610533,113.86091212836432,1568.01640625,105.64424505991948,1779.304896369839,1356.727916130161,-24546451,-19.6904296875,0.045898376638786396,0
2020-04-08,1509.2763671875,1598.26039882769,1505.3382826167776,1557.5516622019568,6285615,1550.215234375,1745.2256713867187,1585.1681105951275,53.26964298767717,-62.46473917903404,-71.45777144869108,113.73020964009432,1550.509503173828,80.93570396824595,1712.38091111032,1388.638095237336,-30832066,31.6380615234375,0.04132489780114277,1
2020-04-09,1562.9942626953125,1574.189186857372,1532.0644078114144,1549.1001290927177,5307397,1555.7905883789062,1738.1208911132812,1583.0563155570499,56.40098083227477,-56.835142448238,-68.53324564860046,112.98255976345676,1542.0184814453125,68.8017410227441,1679.6219634908007,1404.4149993998244,-25524669,55.7535400390625,0.042322880679204936,0
